Datetime,SMART [nvme0]: Temperature
2025-03-06 09:31:36,40
2025-03-06 12:51:36,39
2025-03-06 16:36:36,40
2025-03-06 17:36:36,41
2025-03-06 18:11:36,40
2025-03-06 19:46:36,41
2025-03-06 20:01:36,40
2025-03-06 21:11:36,41
2025-03-06 22:26:36,40
2025-03-07 00:06:36,41
2025-03-07 00:31:36,40
2025-03-07 05:31:36,41
2025-03-07 05:36:36,40
2025-03-07 06:51:36,39
2025-03-07 06:56:36,40
2025-03-07 09:11:36,41
2025-03-07 09:31:36,40
2025-03-07 10:06:36,41
2025-03-07 10:16:36,40
2025-03-07 11:36:36,39
2025-03-07 11:41:36,40
2025-03-07 11:56:36,39
2025-03-07 12:01:36,40
2025-03-07 12:16:36,39
2025-03-07 12:21:36,40
2025-03-07 12:36:36,39
2025-03-07 12:51:36,40
2025-03-07 13:01:36,39
2025-03-07 13:11:36,40
2025-03-07 17:06:36,39
2025-03-07 17:41:36,40
2025-03-07 23:16:36,39
2025-03-07 23:21:36,40
